code,name,lat,lon
elmo,El Morro,35.03895916,-108.3463984
elro,Eleanor Roosevelt,41.76208482,-73.89894026
elis,Ellis Island,40.69946,-74.0401
euon,Eugene O'Neill,37.82604456,-122.0271566
ever,Everglades,25.37294225,-80.88200301
feha,Federal Hall,40.70731192,-74.01025636
fiis,Fire Island,40.69668638,-73.00013462
fila,First Ladies,40.79689857,-81.37579869
frst,First State,39.83076929,-75.56353942
flni,Flight 93,40.06061476,-78.89456905
flfo,Florissant Fossil Beds,38.91260586,-105.2803396
foth,Ford's Theatre,38.89668819,-77.02577944
fobo,Fort Bowie,32.14925942,-109.451132
foda,Fort Davis,30.59930381,-103.8961904
fodo,Fort Donelson,36.49019078,-87.92445695
fodu,Fort Dupont Park,38.87731289,-76.94955824
fofo,Fort Foote,38.76901785,-77.02812387
fofr,Fort Frederica,31.2214699,-81.39452014
fola,Fort Laramie,42.20301694,-104.5459112
fols,Fort Larned,38.18047491,-99.21836664
foma,Fort Matanzas,29.7121489,-81.23567535
fomc,Fort McHenry,39.26395314,-76.58044165
fomr,Fort Monroe,37.01733343,-76.30103195
fone,Fort Necessity,39.81306048,-79.59033344
fopo,Fort Point,37.80837439,-122.473747
fopu,Fort Pulaski,32.0308274,-80.93361681
fora,Fort Raleigh,35.93278602,-75.71496865
fosc,Fort Scott,37.84358849,-94.70429174
fosm,Fort Smith,35.38834746,-94.43129079
fost,Fort Stanwix,43.21053441,-75.45557626
fosu,Fort Sumter and Fort Moultrie,32.75654469,-79.87068744
foun,Fort Union,35.90700629,-105.0145185
fous,Fort Union Trading Post,48.00075828,-104.0375238
fova,Fort Vancouver,45.62234841,-122.6617043
fowa,Fort Washington,38.7117,-77.0302
fobu,Fossil Butte,41.85635223,-110.7624754
frde,Franklin Delano Roosevelt Memorial,38.88341274,-77.04311542
frdo,Frederick Douglass,38.86298458,-76.98508147
frla,Frederick Law Olmsted,42.32424266,-71.13202567
frsp,Fredericksburg & Spotsylvania,38.29378,-77.46734
frri,Freedom Riders,33.635269165,-85.9064331055
frhi,Friendship Hill,39.77543423,-79.92504169
gaar,Gates Of The Arctic,67.75961636,-153.2917758
jeff,Gateway Arch,38.6258069,-90.1892508
gate,Gateway,40.56536246,-73.9171087
gari,Gauley River,38.20614947,-81.00420836
gegr,General Grant,40.81332817,-73.96331542
gero,George Rogers Clark,38.67912659,-87.53545212
gewa,George Washington Birthplace,38.19362603,-76.92079458
gwca,George Washington Carver,36.9871322,-94.35522737
gwmp,George Washington,38.9628,-77.1495
gett,Gettysburg,39.81557366,-77.23246758
gicl,Gila Cliff Dwellings,33.22715258,-108.2706711
glba,Glacier Bay,58.80086718,-136.8407579
glac,Glacier,48.68414678,-113.8009306
glca,Glen Canyon,36.9357464677,-111.485594268
glec,Glen Echo,38.96912315,-77.14012206
glde,Gloria Dei Church,39.93435005,-75.14398924
goga,Golden Gate,37.85982543,-122.6007386
gosp,Golden Spike,41.61947508,-112.5242653
gois,Governors Island,40.69164233,-74.01670765
grca,Grand Canyon,36.0001165336,-112.121516363
para,Grand Canyon-Parashant,36.41535465,-113.6682797
grpo,Grand Portage,47.99294217,-89.75573031
grte,Grand Teton,43.81853565,-110.7054666
grko,Grant-Kohrs Ranch,46.41358923,-112.7467024
grba,Great Basin,38.94617378,-114.2579782
greg,Great Egg Harbor River,39.3042,-74.6497
grfa,Great Falls,38.98776107,-77.25128326
grsa,Great Sand Dunes,37.79256812,-105.5919572
grsm,Great Smoky Mountains,35.60116374,-83.50818326
grsp,Green Springs,38.037099,-78.189823
gree,Greenbelt,38.98328267,-76.89722133
gumo,Guadalupe Mountains,31.92304462,-104.885527
guco,Guilford Courthouse,36.13225478,-79.8424561
guis,Gulf Islands,30.29924926,-87.75064297
hafo,Hagerman Fossil Beds,42.79074114,-114.9443074
hale,Haleakalā,20.70693015,-156.1591775
hagr,Hamilton Grange,40.81871605,-73.94878487
hamp,Hampton,39.4175296,-76.58781182
haha,Harmony Hall,38.74646351,-77.00377069
hafe,Harpers Ferry,39.31865949,-77.74088546
hart,Harriet Tubman,42.9128920287,-76.5646715462
hatu,Harriet Tubman Underground Railroad,38.4548643511,-76.1373451376
hstr,Harry S Truman,38.92711967,-94.5162488
havo,Hawaiʻi Volcanoes,19.3355036,-155.4700257
heho,Herbert Hoover,41.66793558,-91.35232139
jame,Historic Jamestowne,37.2065,-76.7538
hofr,Home Of Franklin D Roosevelt,41.76639758,-73.92516857
home,Homestead,40.28802381,-96.83387781
hono,Hono'uli'uli,21.38817536,-158.0574991
hocu,Hopewell Culture,39.31594374,-83.08049456
hofu,Hopewell Furnace,40.20610637,-75.76766355
hobe,Horseshoe Bend,32.97668879,-85.73413589
hosp,Hot Springs,34.52414366,-93.06332936
hove,Hovenweep,37.39134092,-109.0047977
hutr,Hubbell Trading Post,35.70727324,-109.5599515
iafl,Ice Age Floods,46.5669309008,-118.992564971
iatr,Ice Age,43.9895697794,-89.5612021706
inde,Independence,39.94746112,-75.14794157
indu,Indiana Dunes,41.63765525,-87.09647445
isro,Isle Royale,48.01145819,-88.82780657
inup,Iñupiat Heritage Center,71.29832445,-156.7535863
jaga,James A Garfield,41.66486549,-81.35086557
jela,Jean Lafitte,29.81739855,-90.1402241
jeca,Jewel Cave,43.73102945,-103.829994
jica,Jimmy Carter,32.03611,-84.3924
jodr,John D Rockefeller Jr,44.0887145996,-110.728042603
joda,John Day Fossil Beds,44.62566508,-119.8811491
jofi,John Fitzgerald Kennedy,42.34693694,-71.12323846
jomu,John Muir,37.9828422,-122.1326097
jofl,Johnstown Flood,40.34584534,-78.77448601
jotr,Joshua Tree,33.91418525,-115.8398125
juba,Juan Bautista de Anza,33.8743390994,-117.224179857
kala,Kalaupapa,21.1731108,-156.9511609
kaho,Kaloko-Honokōhau,19.68083237,-156.0306932
kaww,Katahdin Woods and Waters,45.9567565918,-68.7122879028
katm,Katmai,58.62235668,-155.0126574
kefj,Kenai Fjords,59.81804414,-150.106502
keaq,Kenilworth Park & Aquatic Gardens,38.9128,-76.9434
kemo,Kennesaw Mountain,33.95370717,-84.59214186
kewe,Keweenaw,47.1792308,-88.52275344
kimo,Kings Mountain,35.13900723,-81.38978712
klse,Klondike Gold Rush - Seattle Unit,47.5993663,-122.3319664
klgo,Klondike Gold Rush,59.61042373,-135.2618535
knri,Knife River Indian Villages,47.3540219,-101.3860533
kova,Kobuk Valley,67.35631336,-159.2002293
kowa,Korean War Veterans Memorial,38.88784226,-77.04773857
lyba,LBJ Memorial Grove on the Potomac,38.87858036,-77.05145832
lacl,Lake Clark,60.57405857,-153.55535
lake,Lake Mead,35.96622528,-114.3469067
lamr,Lake Meredith,35.61926203,-101.6820066
laro,Lake Roosevelt,48.17148735,-118.3513713
lavo,Lassen Volcanic,40.49354575,-121.4075993
labe,Lava Beds,41.75915823,-121.5172189
lecl,Lewis & Clark,41.2646141052,-95.9245147705
lewi,Lewis and Clark,46.21178735,-123.9638583
libo,Lincoln Boyhood,38.11817004,-86.99656861
liho,Lincoln Home,39.79715642,-89.64513397
linc,Lincoln Memorial,38.88927229,-77.05017778
libi,Little Bighorn Battlefield,45.55633048,-107.4183614
liri,Little River Canyon,34.41461863,-85.61734327
chsc,Little Rock Central High School,34.7369465,-92.29987899
long,Longfellow House Washington's Headquarters,42.37698854,-71.12636956
lowe,Lowell,42.6455371,-71.31588673
lode,Lower Delaware,40.4000389,-74.983737
loea,Lower East Side Tenement Museum,40.7187683,-73.99001245
lyjo,Lyndon B Johnson,30.2519655,-98.60692433
mawa,Maggie L Walker,37.54781499,-77.43746979
maac,Maine Acadian Culture,47.25102114,-68.59447532
maca,Mammoth Cave,37.19760458,-86.13090198
mana,Manassas,38.81710063,-77.5353468
mapr,Manhattan Project,35.88096,-106.30214
manz,Manzanar,36.72559195,-118.1547177
mabi,Marsh - Billings - Rockefeller,43.63348732,-72.53424638
mlkm,"Martin Luther King, Jr. Memorial",38.8862276865,-77.0442195534
malu,"Martin Luther King, Jr.",33.75618241,-84.37256768
mava,Martin Van Buren,42.36819596,-73.70834257
mamc,Mary McLeod Bethune Council House,38.90819107,-77.03096742
memy,Medgar and Myrlie Evers Home,32.34096274,-90.21264553
meve,Mesa Verde,37.23908345,-108.4624032
misp,Mill Springs Battlefield,37.0688158602,-84.7375361304
miin,Minidoka,42.80586068,-114.4449868
mima,Minute Man,42.4562778,-71.30738884
mimi,Minuteman Missile,43.89558013,-102.0272131
miss,Mississippi,44.942487,-93.098712
mnrr,Missouri,42.7882189,-97.59077822
moja,Mojave,35.12485941,-115.5168258
mono,Monocacy,39.36084236,-77.39637677
moca,Montezuma Castle,34.62237771,-111.8147857
mocr,Moores Creek,34.45820776,-78.11031134
mopi,Mormon Pioneer,41.2650321741,-101.84083756
morr,Morristown,40.7650755,-74.53455122
mora,Mount Rainier,46.86075416,-121.7043885
moru,Mount Rushmore,43.88037021,-103.4525186
muwo,Muir Woods,37.89658027,-122.5808047
natc,Natchez,31.54697621,-91.39040665
natt,Natchez Trace,34.330290333,-88.7100104094
natr,Natchez Trace,33.78002293,-89.03092439
nace,National Capital Parks-East,38.8659,-76.994
nama,National Mall and Memorial Parks,38.8899,-77.026
npsa,National Park of American Samoa,-14.22865935,-169.8503777
npnh,National Parks of New York Harbor,40.6632,-74.0451
nabr,Natural Bridges,37.6045329,-110.0022436
nava,Navajo,36.71755643,-110.5504015
nebe,New Bedford Whaling,41.63540552,-70.92322321
neen,New England,42.2915819137,-72.5242767334
pine,New Jersey Pinelands,39.9384,-74.625
jazz,New Orleans Jazz,29.96303129,-90.06749669
neri,New River Gorge,37.86878554,-80.99956002
nepe,Nez Perce,46.07019093,-115.8761258
nico,Nicodemus,39.39167606,-99.61680329
nisi,Ninety Six,34.14273587,-82.01636079
niob,Niobrara,42.79413083,-99.91870646
noat,Noatak,68.01027053,-159.831694
noca,North Cascades,48.71171756,-121.2069423
noco,North Country,46.334400743,-90.8165630499
obed,Obed,36.1056026037,-84.5979170501
ocmu,Ocmulgee Mounds,32.83816576,-83.60224853
okci,Oklahoma City,35.473,-97.5171
olsp,Old Spanish,37.0791782514,-112.114693431
olym,Olympic,47.80392754,-123.6663848
orca,Oregon Caves,42.10319143,-123.4018586
oreg,Oregon,41.9876977831,-109.634200841
orpi,Organ Pipe Cactus,32.03585543,-112.8573314
ovvi,Overmountain Victory,35.14044,-81.377
oxhi,Oxon Cove Park & Oxon Hill Farm,38.80578214,-77.01131457
ozar,Ozark,37.13968894,-91.25709817
pais,Padre Island,27.05381186,-97.35901135
paal,Palo Alto Battlefield,26.02387351,-97.46296072
pagr,Paterson Great Falls,40.91584645,-74.18021494
peri,Pea Ridge,36.45438033,-94.03468357
valr,Pearl Harbor,21.3670699388,-157.938578898
peco,Pecos,35.54192238,-105.6814684
paav,Pennsylvania Avenue,38.89426856,-77.02506554
pevi,Perry's Victory & International Peace,41.65449782,-82.8115794
pete,Petersburg,37.19109957,-77.47594865
pefo,Petrified Forest,34.98387664,-109.7877678
petr,Petroglyph,35.13915998,-106.7491456
piro,Pictured Rocks,46.56435642,-86.31628733
pinn,Pinnacles,36.49029208,-121.1813607
pisp,Pipe Spring,36.86282666,-112.7398567
pipe,Pipestone,44.01351958,-96.32475523
pisc,Piscataway,38.6929,-77.067
pore,Point Reyes,38.05511241,-122.8797804
poex,Pony Express,42.2365761128,-109.266148417
poch,Port Chicago Naval Magazine,38.05685472,-122.0301603
pohe,Potomac Heritage,39.15060133,-77.52301085
popo,Poverty Point,32.6424361,-91.40829834
wicl,President William Jefferson Clinton Birthplace Home,33.66758356,-93.59641868
whho,President's Park (White House),38.89541886,-77.03654147
prsf,Presidio of San Francisco,37.797,-122.4671
prwi,Prince William Forest,38.58589108,-77.38910997
pull,Pullman,41.69429163,-87.60873824
puho,Puʻuhonua o Hōnaunau,19.41268627,-155.9008789
puhe,Puʻukoholā Heiau,20.02772186,-155.8211629
rabr,Rainbow Bridge,36.9943264317,-111.491484759
reer,Reconstruction Era,32.3868598938,-80.6511077881
redw,Redwood,41.37237268,-124.0318129
rich,Richmond,37.48774472,-77.29107785
rigr,Rio Grande,29.52743158,-102.5979169
rira,River Raisin,41.91291085,-83.37620464
rocr,Rock Creek,38.95125063,-77.05002838
romo,Rocky Mountain,40.3556924,-105.6972879
rowi,Roger Williams,41.8298955,-71.41056665
roca,Roosevelt Campobello,44.8736,-66.9621
rori,Rosie the Riveter WWII Home Front,37.90999027,-122.360156
ruca,Russell Cave,34.97402063,-85.81560314
sahi,Sagamore Hill,40.88579128,-73.49686438
sagu,Saguaro,32.20909636,-110.7574974
sacr,Saint Croix Island,45.12858838,-67.13363651
sacn,Saint Croix,45.70019235,-92.36126685
sapa,Saint Paul's Church,40.89283511,-73.82577276
saga,Saint-Gaudens,43.4997238,-72.37333969
sama,Salem Maritime,42.52024529,-70.88640867
sapu,Salinas Pueblo Missions,34.35423203,-106.2050309
sari,Salt River Bay,17.77908602,-64.75519348
saan,San Antonio Missions,29.31262089,-98.4289522
safr,San Francisco Maritime,37.81005871,-122.4244415
sajh,San Juan Island,48.51241933,-123.0610277
saju,San Juan,18.46873857,-66.11848623
sand,Sand Creek Massacre,38.56414189,-102.5169542
safe,Santa Fe,37.7276522226,-99.921969227
samo,Santa Monica Mountains,34.09777606,-118.7708619
sara,Saratoga,42.99522612,-73.63386108
sair,Saugus Iron Works,42.46830664,-71.0076953
scbl,Scotts Bluff,41.83464193,-103.7071351
semo,Selma To Montgomery,32.27082092,-86.72823702
seki,Sequoia & Kings Canyon,36.71277299,-118.587429
shen,Shenandoah,38.49236644,-78.46907715
shil,Shiloh,35.13850907,-88.3421072
sitk,Sitka,57.04718173,-135.3156876
slbe,Sleeping Bear Dunes,44.92844962,-86.02706591
spar,Springfield Armory,42.1086368,-72.57967415
stsp,Star-Spangled Banner,39.2872505188,-76.6034317017
stli,Statue Of Liberty,40.6898,-74.0451
stge,Ste. Geneviève,37.9792171421179,-90.0432157516479
stea,Steamtown,41.40757521,-75.67037255
stri,Stones River,35.87608652,-86.43078399
ston,Stonewall,40.7337799072,-74.0006866455
sucr,Sunset Crater Volcano,35.37114323,-111.510376
tapr,Tallgrass Prairie,38.44023613,-96.5670822
thko,Thaddeus Kosciuszko,39.94345312,-75.14732045
thrb,Theodore Roosevelt Birthplace,40.7386469,-73.98903703
thri,Theodore Roosevelt Inaugural,42.90146781,-78.87248411
this,Theodore Roosevelt Island,38.89584162,-77.06241918
thro,Theodore Roosevelt,47.17777274,-103.4300083
thco,Thomas Cole,42.22570607,-73.86154864
edis,Thomas Edison,40.78549896,-74.23821139
thje,Thomas Jefferson Memorial,38.88101431,-77.03632572
thst,Thomas Stone,38.52934443,-77.037813
tica,Timpanogos Cave,40.44039719,-111.7093944
timu,Timucuan,30.47251894,-81.49950104
tont,Tonto,33.64842945,-111.1135627
tosy,Touro Synagogue,41.4893,-71.3121
trte,Trail Of Tears,36.0530021046,-89.6761041963
tule,Tule Lake,41.88727902,-121.3744818
tusk,Tule Springs Fossil Beds,36.3893217,-115.3202223
tuma,Tumacácori,31.567824,-111.051223
tupe,Tupelo,34.25557705,-88.73708623
tuai,Tuskegee Airmen,32.45538671,-85.67983321
tuin,Tuskegee Institute,32.42962115,-85.70488498
tuzi,Tuzigoot,34.77296377,-112.0279069
ulsg,Ulysses S Grant,38.55182374,-90.35169255
upde,Upper Delaware,41.66172578,-75.03861562
vall,Valles Caldera,35.91682872,-106.5195724
vafo,Valley Forge,40.10054985,-75.44581889
vama,Vanderbilt Mansion,41.79697937,-73.94205557
vick,Vicksburg,32.3621286,-90.85030186
vive,Vietnam Veterans,38.89096297,-77.04765735
vicr,Virgin Islands Coral Reef,18.28996918,-64.70683395
viis,Virgin Islands,18.34279656,-64.74194451
voya,Voyageurs,48.48370609,-92.8382913
waco,Waco Mammoth,31.60465887,-97.17606143
waca,Walnut Canyon,35.16822994,-111.5024239
wapa,War In The Pacific,13.43795691,144.6922461
wamo,Washington Monument,38.88948,-77.035207
waro,Washington-Rochambeau Revolutionary Route,40.0958204557,-74.8563515109
waba,Washita Battlefield,35.62083963,-99.70445143
wefa,Weir Farm,41.25886268,-73.45452542
whis,Whiskeytown,40.61359941,-122.6022657
whsa,White Sands,32.77907858,-106.3333461
whmi,Whitman Mission,46.04119286,-118.4629388
wiho,William Howard Taft,39.11970352,-84.50758951
wicr,Wilson's Creek,37.1000127,-93.40986704
wica,Wind Cave,43.58012365,-103.4394709
wing,Wing Luke Museum,47.59820859,-122.3228912
wotr,Wolf Trap National Park for the Performing Arts,38.93854526,-77.265089
wori,Women's Rights,42.90817073,-76.81655558
wwim,World War I Memorial,38.8959,-77.0329
wwii,World War II Memorial,38.88923917,-77.0403759
wrst,Wrangell - St Elias,61.4182147,-142.6028439
wrbr,Wright Brothers,36.01637713,-75.66997163
wupa,Wupatki,35.55741077,-111.3957216
yell,Yellowstone,44.59824417,-110.5471695
york,Yorktown Battlefield,37.2195,-76.4983
yose,Yosemite,37.84883288,-119.5571873
yuho,Yucca House,37.24778944,-108.6861274
yuch,Yukon - Charley Rivers,65.0935608,-142.7960021
zion,Zion,37.29839254,-113.0265138
